1,"organization","resource","180703686097",,"strike3software.com","organizations/180703686097"
2,"folder","resource","1037858470618",1,"vendors","folders/1037858470618"
3,"folder","resource","447738853093",1,"products","folders/447738853093"
4,"folder","resource","259115136721",1,"demo","folders/259115136721"
5,"folder","resource","776007621624",1,"migrate","folders/776007621624"
6,"folder","resource","93375575187",1,"experimental","folders/93375575187"
7,"folder","resource","830051761309",1,"admin","folders/830051761309"
8,"folder","resource","98635841550",1,"acquisitions","folders/98635841550"
9,"folder","resource","898988358812",6,"mikez","folders/898988358812"
10,"folder","resource","45281402264",9,"forseti","folders/45281402264"
35,"project","resource","mikez-test-project",5,"","mikez-test-project"
50,"project","resource","strike3-helloworld",4,"","strike3-helloworld"
55,"project","resource","strike3-billing-project",5,"","strike3-billing-project"
60,"project","resource","mikez-strike3project-test",5,"","mikez-strike3project-test"
73,"project","resource","strike3-forseti",10,"","strike3-forseti"
252,"cloudsqlinstance","resource","forseti-server-db-ff5789a",73,"","forseti-server-db-ff5789a"
354,"appengine_app","resource","11804977894556867746",50,"","apps/strike3-helloworld"
361,"appengine_app","resource","1330910310474806251",73,"","apps/strike3-forseti"